SL. No.,,,Complaint Description,,,,Category,CategoryType,Priority,,,,,,
273,,,Celing fan  coil heating,,,,Electrical,Celing fan-start with Jerk,low,,,,,,
274,,,Both washroom drains are blocked ,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,high,,,,,,
275,,,Power is not coming from geaser switch board at bathroom area,,,,Electrical,Gyser-Not woking,high,,,,,,
276,,,window up wall broken,,,,Civil,Bedroom-2 door frame repair,high,,,,,,
277,,,Please supply water in my house as there is no water,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
278,,,Front side cemented walk way broken ,,,,Civil,Miscellaneous Work,high,,,,,,
279,,,"N131-3 newly alloted quarter where no power available in kitchen, dining room. In the outer room no switchboard and bulb holder available.
Not able to shift the quarter due to lights not working.",,,,Electrical,No power-Single house,high,,,,,,
280,,,"Kitchen socket not working
",,,,Electrical,Socket-Not working,high,,,,,,
281,,,"N85-5 is my current quarter. 
Bathroom light not working. The switch may be faulty.",,,,Electrical,Light-not working,high,,,,,,
282,,,"Water not purifier on 
N type 148/1 Hudco Lake town telco colony",,,,Water and Plumbing Work,Water Quality,low,,,,,,
283,,,selling me whitewash,,,,Civil,Outhouse Touch up painting,high,,,,,,
284,,,Brick work at the outside door floor is damaged ,,,,Civil,Outhouse door frame repair,low,,,,,,
285,,,window ke up wall broken,,,,Civil,Dining Room window frame repair,high,,,,,,
286,,,wall & rack broken,,,,Civil,Bedroom -1 brick wall repair,low,,,,,,
287,,,Bush in front of main gate,,,,Housekeeping,Bush Cutting Required,high,,,,,,
288,,,Water leakage from roof of tank,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
289,,,Pani teen baje se pahle khatm ho gaya hai complaint kiye Bhi Do Ghanta super Ho Gaya abhi tak pani Nahin Aaya latrin bathroom Aaj Nahin Band Karke Rakha Hua Hai bahut jyada dikkat ho raha hai,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
290,,,"From thee holess of floorr, insects are coming and spraiding to entire house. Very serious and unsafe for everyone specially kids",,,,Civil,Drawing Room floor repair,high,,,,,,
291,,,Water over,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
292,,,Rain water seepage in bed room no 3 wall,,,,Civil,Repairs to wall seepage other than bathroom & latrine,low,,,,,,
293,,,Bathroom and passages area termite treatment.,,,,Housekeeping,Antitermite Treatment,low,,,,,,
294,,,Plz provide water tanker ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
295,,,Bathroom wall plaster crack.,,,,Civil,Bathroom ceiling plaster,low,,,,,,
296,,,Facing issue of electric shock in switches ,,,,Electrical,Switch-Not working,low,,,,,,
297,,,Water not Available ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
298,,,Repairing of damaged compound wall near D-type garage behind D-2 building at HUDCO,,,,Civil,Reconstruction of masonry compound wall,high,,,,,,
299,,,Water finished ,,,,Water and Plumbing Work,Additional Water request,low,,,,,,
300,,,"Back side common wall Tilt one side,  so back door open time hole wall vibrate .",,,,Civil,Outhouse brick wall repair,high,,,,,,
301,,,Main need to replace,,,,Woodwork,Door frames patch/copla/tiles/mosaic - Replacement and painting,high,,,,,,
302,,,Need water asap,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
303,,,"Sir,
D1/16,HUDCO TELCO kitchen holder is defective, Kindly repair, thanks.",,,,Electrical,Holder-batten holder not working,low,,,,,,
304,,,Tree branches have been touhing with kitchen window & wall. Mouse & squirrel are entering into kitchen through window.,,,,Housekeeping,Bush Cutting Required,low,,,,,,
305,,,Magic eye not working ,,,,Civil,Magic eye  - Replacement,low,,,,,,
306,,,The mirror is very old and not very much visible ,,,,Water and Plumbing Work,Mirror to be replaced,low,,,,,,
307,,,"Water Seepage from main hall , kitchen",,,,Civil,Repairs to wall seepage other than bathroom & latrine,low,,,,,,
308,,,Kitchen sink is jammed,,,,Housekeeping,Kitchen Sink Jam,low,,,,,,
309,,,Seepage in bathroom and laterine ,,,,Civil,Repairs to wall seepage of bathroom & latrine,low,,,,,,
310,,,Door not closing properly ,,,,Woodwork,Repairs to door shutters other than bath & lat.,low,,,,,,
311,,,Water depositing in western bathroom floor,,,,Civil,Bathroom floor repair,low,,,,,,
312,,,Kitchen tap leaking,,,,Water and Plumbing Work,Improper function of Water Tap,high,,,,,,
313,,,No power ,,,,Electrical,Light-not working,high,,,,,,
314,,,J39 block over flow water regular dropping every day,,,,Water and Plumbing Work,Area Drinking Water Scarcity,low,,,,,,
315,,,Toilet floor damage ,,,,Civil,Toilet-1 floor repair,low,,,,,,
316,,,MCB problem,,,,Electrical,Voltage-fluctuation,low,,,,,,
317,,,Bush cutting ,,,,Housekeeping,Bush Cutting Required,high,,,,,,
318,,,Can easily see from terrace at M18/9,,,,Woodwork,Bathroom frosted glass fixing,low,,,,,,
319,,,Drawing room fan switch not working,,,,Electrical,Switch-Not working,high,,,,,,
320,,,Part of the roof fallen,,,,Civil,Repairs to ceiling plaster,high,,,,,,
321,,,Water entering inside at the time of rain from aluminium window frames corners,,,,Civil,Bedroom-2 window frame repair,low,,,,,,
322,,,Fornt inter damge,,,,Civil,Outhouse brick wall repair,low,,,,,,
323,,,Sliding bolt not attached at the time of door changing.,,,,Woodwork,Bedroom-2 sliding bolt repair,low,,,,,,
324,,,Seepage of floor ,,,,Civil,Repairs to floor other than courtyard floor,low,,,,,,
325,,,1st room  ac point  not working,,,,Electrical,AC power point-AC Switch burnt,low,,,,,,
326,,,Toilet flush not working ,,,,Water and Plumbing Work,Other Misc. requests,low,,,,,,
327,,,2 no.s Wash basin blocked in rear axle toilet,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
328,,,Floor damaged ,,,,Civil,Repairs to courtyard floor - Patch,low,,,,,,
329,,,Bad smell ,,,,Housekeeping,Dead Animal Removal,high,,,,,,
330,,,Spark generated from socket of master bedroom & Fan switch not working properly ,,,,Electrical,Electric Sparking,high,,,,,,
331,,,920470 5073,,,,Electrical,Light-not working,high,,,,,,
332,,,Tree branch cut window kitchen eliminate insect inside kitchen ,,,,Housekeeping,Bush Cutting Required,high,,,,,,
333,,,Dor is not colossh,,,,Woodwork,Bathroom door hinge repair,high,,,,,,
334,,,No water ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
335,,,"Pipe located vertically outside kitchen, leakage daily at the time of water tank filling. Water wetness entering in kitchen. Please resolve on priority",,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
336,,,Pipe and fittings leakage in side house (repair),,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),high,,,,,,
337,,,Window shutter shited from its place ,,,,Woodwork,Kitchen window shutter repair,low,,,,,,
338,,,Kitchen basin pipe change ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
339,,,Kitchen Socket Change,,,,Electrical,Socket-Not working,high,,,,,,
340,,,Wash basin drain pipe is leakage ,,,,Water and Plumbing Work,Wash Basin to be checked,high,,,,,,
341,,,Kitchen Switch Change ,,,,Electrical,Switch-Not working,high,,,,,,
342,,,Bedroom 1 door frame damaged. Pls repair immediately.,,,,Woodwork,Bedroom-1 door frame repair,high,,,,,,
343,,,Bathroom & Toilet drien damage ,,,,Civil,Miscellaneous Work,high,,,,,,
344,,,MCV tripping again and again and power cut since morning. ,,,,Electrical,No power-Single house,high,,,,,,
345,,,Gent's Toilet Mirror broken,,,,Water and Plumbing Work,Mirror to be replaced,high,,,,,,
346,,,Kitchen window side wall coming out and plaster broken,,,,Civil,Kitchen ceiling plaster,low,,,,,,
347,,,Bedroom door not closing,,,,Woodwork,Bedroom-1 door easing,high,,,,,,
348,,,Bathroom and latrine wall seepage,,,,Civil,Repairs to wall seepage of bathroom & latrine,low,,,,,,
349,,,Wall coming out near window,,,,Civil,Bathroom brick wall repair,low,,,,,,
350,,,Water coming out from kitchen sink,,,,Civil,Repairs to kitchen sink,low,,,,,,
351,,,Bedroom window broken,,,,Steel Works,Repairs to steel window,low,,,,,,
352,,,After a rain water jam front drain,,,,Housekeeping,Front Drain Jam,high,,,,,,
353,,,Main washroom water drain choke,,,,Water and Plumbing Work,Cleaning of all types of pipe chokages,low,,,,,,
354,,,Ceiling fan of drawing room not working,,,,Electrical,Celing fan-Not working,high,,,,,,
355,,, Barthroom & Toilet Front side wall damage..,,,,Civil,Miscellaneous Work,high,,,,,,
356,,,There is a shortage of water/no water in my house. Kindly do it on priority basis,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
357,,,Kindly spray mosquito killing and do clean back drain ,,,,Housekeeping,Mosquito Related Complaint ,high,,,,,,
358,,,Back drain jam ,,,,Housekeeping,Back Drain Jam,high,,,,,,
359,,,Courtyard drain ,,,,Civil,Repairs to floor other than courtyard floor,low,,,,,,
360,,,9204705073,,,,Electrical,Gyser-Not woking,high,,,,,,
361,,,Gent's Toilet Commode Outlet Jaam,,,,Housekeeping,Catchpit Jam,high,,,,,,
362,,,MCV tripping. ,,,,Electrical,No power-Single house,high,,,,,,
363,,,Water tank empty . Pls provide water tanker immediately,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
364,,,Combine washroom seat cover damage,,,,Water and Plumbing Work,E.W.C. seat cover to be replaced,high,,,,,,
365,,,Several part of kitchen floor is damaged by  mouse by making holes from outside. ,,,,Civil,Kitchen floor repair,high,,,,,,
366,,,Front Room Celing fan speed is very slow.,,,,Electrical,Celing fan-Slow running,high,,,,,,
367,,,Bathroom me Water sipag ho raha Hai jis Karan top may damage ho raha Hai K-31/11 River view colony near Nilesh chowmin,,,,Civil,Bathroom wall plaster,low,,,,,,
368,,,Water leakage from back side of commode ,,,,Water and Plumbing Work,Pipe and fittings  leakage In side the house (Repair),low,,,,,,
369,,,No water,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
370,,,Water outer jam,,,,Housekeeping,Bathroom Jam,high,,,,,,
371,,,Voltage fluctuating,,,,Electrical,Voltage fluctuation-Low voltage,low,,,,,,
372,,,water tank overflow,,,,Water and Plumbing Work,Over Flow From Over Head Tank,high,,,,,,
373,,,Bathroom tower bolt broken,,,,Civil,Bathroom bow handle repair,high,,,,,,
374,,,Tower bolt broken,,,,Civil,Bathroom tower bolt repair,low,,,,,,
375,,,Look very bad,,,,Housekeeping,Garbage Removal,low,,,,,,
376,,,RCC work required in front of building ,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
377,,,Tree Branches are in bent condition at boundary wall entry Gate.,,,,Woodwork,Misc. requests,low,,,,,,
378,,,Need to clean water tank ,,,,Water and Plumbing Work,Cleaning of Over Head Tank,high,,,,,,
379,,,Replace ,,,,Civil,Repairs to kitchen sink,low,,,,,,
380,,,Toilet pipe liekage,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
381,,,Gas platform Is damaged ,,,,Civil,Repairs to gas platform,high,,,,,,
382,,,Repairing of damaged approach path infront of D1 building.,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
383,,,Pipeline leakage infront of D2 building,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
384,,,Pipeline leakage near P-15 building,,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
385,,,Door broblem,,,,Woodwork,Bathroom door hinge repair,high,,,,,,
386,,, water leaking from the ceiling ......in bathroom..... Suffering from this problem...,,,,Civil,Bathroom ceiling plaster,high,,,,,,
387,,,Latch got jammed...tough to open ,,,,Civil,Bathroom door hinge repair,low,,,,,,
388,,,Wall seepage is very high ,,,,Civil,Bathroom brick wall repair,low,,,,,,
389,,,Frequently water Scarcity in my building (over all) Since 6 months. Need to be checked properly. Kindly do needful.,,,,Water and Plumbing Work,Area Drinking Water Scarcity,high,,,,,,
390,,,Road repairs ,,,,Civil,Repairs to approach path ( road to gate ),high,,,,,,
391,,,Water getting logged in one bathroom ,,,,Water and Plumbing Work,Other Misc. requests,high,,,,,,
392,,,Bad smell out from drain pit at the back of building area,,,,Civil,Back Drain Damage,low,,,,,,
393,,,switch board is not working properly when i am swtiching on/off the fridge then light and fan is being automatically switched off.,,,,Electrical,Socket-Loose connection,high,,,,,,
394,,,Send the tanker urgently ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
395,,,Water scarcity ,,,,Water and Plumbing Work,Drinking Water Scarcity,low,,,,,,
396,,,Water leakage from kitchen floor near wash basin and dining wash basin,,,,Civil,Kitchen floor repair,high,,,,,,
397,,,Socket is not working properly.,,,,Electrical,Socket-Not working,high,,,,,,
398,,,EWC cover open. Need to repair,,,,Water and Plumbing Work,E.W.C. seat cover to be replaced,low,,,,,,
399,,,Chajja edge may fall any time causing injury to anyone.,,,,Civil,Repair to chajja,high,,,,,,
400,,,No water ,,,,Water and Plumbing Work,Drinking Water Scarcity,high,,,,,,
401,,,The Tree branches of my second balcony is almost encroaching inside the house. Please do the needful ay the earliest.,,,,Housekeeping,Bush Cutting Required,high,,,,,,
402,,,Toilet floor to be repair ,,,,Civil,Outhouse Toilet floor repair,low,,,,,,
403,,,"The common area in front of D1/10, has a ever blinking and defective bulb. Please replace.",,,,Electrical,Stair case light-Lamp fuse,low,,,,,,
404,,,The kitchen switchboard for aquaguard has beeb sparking during almost overtime ih is switched on.,,,,Electrical,Electric Sparking,high,,,,,,
405,,,Sanitary drain blockage in both washrooms,,,,Housekeeping,Bathroom Jam,high,,,,,,
406,,,Balcony floor slipery & water accumulation ,,,,Civil,Miscellaneous Work,high,,,,,,
407,,,"MCV SWITCH NOT RESET 
POWER OFF ",,,,Electrical,RCBO Defective,high,,,,,,
408,,,Water leakage from shower stop cock.,,,,Water and Plumbing Work,Improper function of Stop cock,low,,,,,,
409,,,No power from 20 minutes.,,,,Electrical,No power-Single house,low,,,,,,
410,,,"Heavy seepage in bathroom & toilet, very unsafe condition to live",,,,Civil,Repairs to wall seepage of bathroom & latrine,high,,,,,,
411,,,Water seepage on slab to basin area. Water directly fall on gas burner.  very unsafe to cook food. ,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
412,,,"Passage area roof seepage , ceiling plaster broke & falling frequently.
Very unsafe to live.",,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
413,,,Water seepage in both bedrooms 1&2.,,,,Civil,Repairs to wall seepage other than bathroom & latrine,high,,,,,,
414,,,Water logging in front of the building whenever it rains ,,,,Civil,Water logging infront of buildings,high,,,,,,
415,,,Drainage required in dinning area,,,,Civil,Miscellaneous Work,low,,,,,,
416,,,Bush cutting is urgently required at roof& side wall. ,,,,Housekeeping,Bush Cutting Required,high,,,,,,
417,,,Maintenance door not open stuck ,,,,Woodwork,Repairs to Main Entrance door,low,,,,,,
418,,,"Hall,,2,4/2,bathroom geyser connector damage",,,,Water and Plumbing Work,Pipe Leakage /Burst outside the house,high,,,,,,
419,,,"Led blub fuige,",,,,Electrical,Light-not working,low,,,,,,
420,,,Main house RCB tripping again and again,,,,Electrical,RCBO Defective,high,,,,,,
421,,,Drain Jam,,,,Housekeeping,Front Drain Jam,high,,,,,,
422,,,Water shortage ,,,,Water and Plumbing Work,Additional Water request,high,,,,,,
423,,,"Hall,2,3,,streetlight_not, working",,,,Electrical,Street light-Not working,high,,,,,,
